X,Wardname,Wardname_rn,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardname_rn
170,Harrow - Marlborough,Marlborough,12259,75.1,78.9,84.3,20.69499959,10.6,62.9,51.6,20.2,Marlborough
171,Havering - Hacton,Hacton,12262,45.4,80.6,85.2,16.58783233,19.7,7.3,7.3,1.7,Hacton
172,Harrow - Harrow on the Hill,Harrow on the Hill,12270,78.4,81.2,84.2,20.81499593,11.7,52.6,44.2,15.1,Harrow on the Hill
173,Hackney - Lordship,Lordship,12280,111.6,75.1,84.8,27.45114007,8.4,30.5,31.4,13.1,Lordship
174,Hounslow - Heston Central,Heston Central,12288,80.8,77.2,83.2,20.84147135,10.9,76.6,54.7,23.9,Heston Central
175,Hounslow - Heston East,Heston East,12319,83.5,85.6,86.2,20.38314798,10.5,77.4,56.5,26.1,Heston East
176,Southwark - East Dulwich,East Dulwich,12321,76.7,81.2,82.9,17.52292833,8.7,28.2,25.9,5.6,East Dulwich
177,Hounslow - Cranford,Cranford,12330,117.4,78.4,86.8,21.37875101,10.1,73.9,56.2,26.5,Cranford
178,Hillingdon - South Ruislip,South Ruislip,12364,82.1,77.6,83.8,20.19572954,12.6,27,23.2,7.7,South Ruislip
179,Camden - Haverstock,Haverstock,12364,65.9,76.7,81.4,19.49207376,11.1,37.1,36.3,10.7,Haverstock
180,Kingston upon Thames - Canbury,Canbury,12373,77.1,77.2,81.6,21.70047684,7.9,21.4,27.5,9.5,Canbury
181,Hackney - Springfield,Springfield,12378,126.5,80.2,84.2,33.18791404,6.9,44.9,39.4,18.2,Springfield
182,Haringey - Crouch End,Crouch End,12395,59.1,78.1,82.3,15.86123437,8.9,18,29.2,7.6,Crouch End
183,Southwark - Village,Village,12402,65.5,77.9,81.6,23.73810676,10.9,20.1,22,3.5,Village
184,Harrow - Greenhill,Greenhill,12420,63.3,76.4,82.1,16.82769726,10.4,58.5,52.7,20.7,Greenhill
185,Hounslow - Heston West,Heston West,12438,87.3,79.7,82.5,22.96993086,10.3,76.2,51.1,23.9,Heston West
186,Hackney - Stoke Newington Central,Stoke Newington Central,12445,50.1,74.9,85.9,15.95821615,7,39.9,36.6,13,Stoke Newington Central
187,Westminster - Hyde Park,Hyde Park,12462,46,87.9,91.3,12.74273792,9.9,44.7,64.2,34.1,Hyde Park
188,Havering - Elm Park,Elm Park,12466,63.2,76.9,84.5,17.92074442,19.4,13.7,10.9,2.1,Elm Park
189,Harrow - Canons,Canons,12471,72.9,81.1,87.2,18.36260123,19.6,48.4,40.1,12.5,Canons
190,Haringey - Fortis Green,Fortis Green,12488,49.2,81.5,87.3,21.27642537,11,20.1,27.5,8.3,Fortis Green
191,Greenwich - Eltham North,Eltham North,12519,57.9,77.9,86,18.6117102,16.6,11.3,13.9,3.4,Eltham North
192,Lambeth - Thornton,Thornton,12526,65.8,79,85.2,20.66102507,7.9,40.5,37,10.1,Thornton
193,Havering - Cranham,Cranham,12528,47,80.8,84.5,17.23339719,23.5,5.6,6,1.1,Cranham
194,Greenwich - Eltham South,Eltham South,12541,61.9,77.4,85.8,16.25867156,15.7,16.8,17.5,4.6,Eltham South
195,Hackney - Hackney Central,Hackney Central,12548,68.7,75,80.3,17.59642971,7.7,52.7,40.5,12.8,Hackney Central
196,Hackney - New River,New River,12551,128.2,79.9,82.8,28.88216078,7.7,39.3,40.2,19.4,New River
197,Westminster - Queen's Park,Queen's Park,12563,83.3,76.8,83.8,21.7702778,9.5,52.6,43.3,15.2,Queen's Park
198,Havering - Heaton,Heaton,12570,61.6,76.7,81,21.92521877,16.8,16.3,13,2.5,Heaton
199,Redbridge - Barkingside,Barkingside,12609,68.7,81,85.7,20.27916568,14.8,64.2,40.5,12.8,Barkingside
200,Waltham Forest - Forest,Forest,12609,99.6,77.9,80.7,19.35918788,9.3,58.7,45.7,18.4,Forest
201,Camden - Camden Town with Primrose Hill,Camden Town with Primrose Hill,12613,56.3,79.6,84.4,15.37302783,11.3,26.4,38.8,12.1,Camden Town with Primrose Hill
202,Hillingdon - Charville,Charville,12622,83.5,81.6,86,22.80145777,12.5,43.9,30.1,9.7,Charville
203,Southwark - South Camberwell,South Camberwell,12629,56.9,76.4,84.6,19.68485232,7.1,44.1,35.8,7.7,South Camberwell
204,Redbridge - Fairlop,Fairlop,12630,89.8,80.2,81.1,20.84718923,13.1,34.9,25.1,8.2,Fairlop
205,Havering - Harold Wood,Harold Wood,12650,60.4,79.8,82.6,17.44664032,17.4,10.1,9.4,2.5,Harold Wood
206,Hounslow - Hounslow West,Hounslow West,12658,95.8,76.4,81.5,17.44351398,11.2,75.9,62.6,29.4,Hounslow West
207,Haringey - Hornsey,Hornsey,12659,57.5,74.7,83.2,18.12939411,8.2,31,32.2,10.5,Hornsey
208,Waltham Forest - Cathall,Cathall,12700,79.3,74.9,81.6,21.36220472,6.8,61,50.1,20,Cathall
209,Hounslow - Bedfont,Bedfont,12701,83.9,77.3,80.9,22.23446973,11.2,35.7,31,12.5,Bedfont
210,Camden - Belsize,Belsize,12702,83.4,82.3,83.9,17.44607148,12,27.8,46.3,14,Belsize
211,Enfield - Grange,Grange,12709,60,82.5,86.1,17.60956802,18.8,19.6,22.1,6.4,Grange
212,Westminster - Westbourne,Westbourne,12759,69,73.8,78,21.81989184,9.5,52.8,51.5,24.1,Westbourne
213,Croydon - Sanderstead,Sanderstead,12777,55.7,82.5,84.2,19.55858183,18.5,19.5,13.7,1.7,Sanderstead
214,Redbridge - Cranbrook,Cranbrook,12780,83.3,77.5,83,20.52425665,12.9,75.4,44.5,15.1,Cranbrook
215,Brent - Northwick Park,Northwick Park,12811,39.4,80.7,81.6,16.68878308,13.2,68.8,53.3,19.8,Northwick Park
216,Harrow - Roxbourne,Roxbourne,12828,62.1,75,84.5,24.45431868,9.8,66.3,48.4,20.9,Roxbourne
217,Havering - Upminster,Upminster,12833,38.6,80.1,81.6,16.77705914,22.5,4.8,6.1,0.9,Upminster
218,Southwark - Faraday,Faraday,12839,65.5,78.3,83.5,23.24168549,7,60.7,45.9,14.6,Faraday
219,Lambeth - Clapham Common,Clapham Common,12852,43.3,77.8,82.1,15.60846561,6.8,24.3,33.5,7.6,Clapham Common
220,Greenwich - Blackheath Westcombe,Blackheath Westcombe,12875,69.3,79.4,83.8,16.27961165,15,16.9,23,5.2,Blackheath Westcombe
221,Waltham Forest - Leytonstone,Leytonstone,12879,60,76.8,84,16.42208246,7.5,47.6,42.6,15.4,Leytonstone
222,Camden - Swiss Cottage,Swiss Cottage,12900,68.6,81.6,85,16.48837209,11.6,32.4,51.2,17.8,Swiss Cottage
223,Hillingdon - Hillingdon East,Hillingdon East,12906,83.7,77.6,83.5,23.11328064,11.9,34.4,23.3,6.4,Hillingdon East
224,Redbridge - Fullwell,Fullwell,12910,75.1,78.8,83.2,21.54918668,15.6,48.5,29.6,8,Fullwell
225,Havering - Mawneys,Mawneys,12915,65.3,80.2,89.2,19.41927991,18.1,11.5,9.3,2.5,Mawneys
226,Islington - Mildmay,Mildmay,12917,48.5,76.9,81,18.25501277,7.8,34.5,33.8,10.6,Mildmay
227,Hackney - Hackney Downs,Hackney Downs,12921,67.4,74.9,83.3,18.88398731,7.2,51.7,39.5,15.5,Hackney Downs
228,Tower Hamlets - Bow West,Bow West,12939,60.3,74,80.9,19.25960275,7.8,40.7,32,11.3,Bow West
229,Havering - Hylands,Hylands,12952,43.1,77.8,84.5,17.63434219,16.2,9.7,7.9,1.7,Hylands
230,Redbridge - Hainault,Hainault,12953,80.4,78.1,83.8,23.04485447,14.1,29.8,22.2,7.4,Hainault
231,Havering - Pettits,Pettits,12955,59.6,81,83.9,17.02045542,20.8,8.7,7.4,1.7,Pettits
232,Hillingdon - Yiewsley,Yiewsley,12979,72,74.9,81.1,22.34378612,9.3,33.8,27.7,10,Yiewsley
233,Havering - Havering Park,Havering Park,13000,58,75.3,79,21.26923077,15.9,12,9.1,1.5,Havering Park
234,Enfield - Highlands,Highlands,13006,50.7,81.5,90.5,16.90758112,18.5,20.8,20.9,5.4,Highlands
235,Brent - Brondesbury Park,Brondesbury Park,13023,67.2,80.3,84.7,16.79336558,12.1,43.8,47.2,16.2,Brondesbury Park
236,Redbridge - Goodmayes,Goodmayes,13069,103,79.9,83.2,24.08753539,8,75.2,46.3,18.5,Goodmayes
237,Southwark - Brunswick Park,Brunswick Park,13174,73.3,78.8,90.7,19.65993624,7.1,53.3,40.6,10.7,Brunswick Park
238,Waltham Forest - Higham Hill,Higham Hill,13194,107.4,75.8,88,24.48082462,7.6,51.9,40.3,15.7,Higham Hill
239,Havering - Squirrel's Heath,Squirrel's Heath,13194,63,81.6,89.5,17.76565105,16.3,11.5,9.4,1.3,Squirrel's Heath
240,Westminster - Lancaster Gate,Lancaster Gate,13195,46.5,93.7,88.1,11.59530125,8.4,33.7,64.6,32.2,Lancaster Gate
241,Tower Hamlets - Weavers,Weavers,13206,55.1,78.9,82.2,17.34060276,7,47.9,41.2,16.7,Weavers
242,Croydon - Heathfield,Heathfield,13213,56.9,84.1,83.7,19.04942102,15.9,24.6,16.9,2.8,Heathfield
243,Hackney - Victoria,Victoria,13231,62.9,79.4,86.8,20.64091905,7.4,44.2,34,10.4,Victoria
244,Hackney - Chatham,Chatham,13232,63.2,72.5,81.4,21.95435308,6.9,54.4,41.3,14.4,Chatham
245,Redbridge - Clayhall,Clayhall,13241,63.8,84,85.4,21.90166906,14.3,71,38.8,10.9,Clayhall
246,Waltham Forest - William Morris,William Morris,13269,102.7,77.5,80.7,22.41314342,8,51.8,43.6,16.9,William Morris
247,Haringey - Harringay,Harringay,13272,64,78.4,81.8,14.76793249,7.5,34.5,49.2,24.3,Harringay
248,Islington - Tollington,Tollington,13311,46.2,72.4,80.8,17.72218466,8,35.8,34.5,12.6,Tollington
249,Ealing - Walpole,Walpole,13330,66.8,79,85.5,17.95948987,10.5,27.1,38,14.1,Walpole
250,Tower Hamlets - Mile End East,Mile End East,13354,74.3,73.4,78.7,23.89546203,5.7,66,43.5,20,Mile End East
251,Waltham Forest - Wood Street,Wood Street,13368,102.1,75.3,83.2,23.30191502,9.2,50.4,38.7,14.4,Wood Street
252,Haringey - West Green,West Green,13372,65,75.6,86.2,19.74274604,9.5,47.8,54.6,25.9,West Green
253,Hackney - Cazenove,Cazenove,13392,116.6,74.4,86.7,28.37514934,5.4,43.3,36.4,16.4,Cazenove
254,Enfield - Winchmore Hill,Winchmore Hill,13403,68.8,78.5,81.5,18.42124897,14.9,23.8,27,8.1,Winchmore Hill
255,Newham - Custom House,Custom House,13411,91.8,73.7,77.4,24.05488032,6.6,53.5,46.9,19.6,Custom House
256,Camden - Kentish Town,Kentish Town,13417,55.2,73.5,78.4,15.80084967,9.6,28.4,34.2,10.4,Kentish Town
257,Brent - Dollis Hill,Dollis Hill,13425,81.2,79.8,87.5,25.06517691,11.3,64.3,54.5,22,Dollis Hill
258,Haringey - White Hart Lane,White Hart Lane,13431,73,74.2,79,27.40674559,8.4,52.5,44.6,19.2,White Hart Lane
259,Greenwich - Shooters Hill,Shooters Hill,13433,87.2,78,86.2,20.74741309,12.4,33.5,23.8,5.2,Shooters Hill
260,Southwark - Surrey Docks,Surrey Docks,13435,57.5,85.5,82.9,12.16970599,5.7,30.9,42.7,15.4,Surrey Docks
261,Ealing - Southall Broadway,Southall Broadway,13439,103.1,81.2,82.4,21.18461195,10.5,93.7,64.1,36,Southall Broadway
262,Brent - Fryent,Fryent,13445,94,82.2,90.2,20.86277427,11.8,62.7,55.9,21.9,Fryent
263,Croydon - Coulsdon West,Coulsdon West,13449,58.7,80,82.8,20.10558406,15.3,25.2,16.9,2.4,Coulsdon West
264,Hillingdon - Barnhill,Barnhill,13449,75.1,75.6,82.5,24.32151089,9.6,68.4,45.4,19,Barnhill
265,Ealing - Southfield,Southfield,13474,74.3,80.7,86.7,17.30740686,10,20.8,36.2,10.7,Southfield
266,Ealing - Northfield,Northfield,13517,63.4,84.2,85.2,18.82814234,11,23.2,36.2,11.1,Northfield
267,Southwark - Peckham Rye,Peckham Rye,13518,75.6,75.6,81.2,20.29146323,8,35.8,28.8,5.9,Peckham Rye
268,Camden - Regent's Park,Regent's Park,13528,53.5,74.8,83.8,15.91513897,9.6,44.3,45.2,15.6,Regent's Park
269,Havering - South Hornchurch,South Hornchurch,13544,63.2,76.9,81.8,21.03514471,16.6,16.4,11.8,2.5,South Hornchurch
270,Hounslow - Syon,Syon,13554,80.3,73,79.4,19.13826177,9.5,34.2,36.7,13.5,Syon
271,Hillingdon - Yeading,Yeading,13586,105.9,78.4,82.4,25.81333726,7.6,64.1,42.7,17.4,Yeading
272,Southwark - Nunhead,Nunhead,13620,70.4,71.2,77.3,19.61820852,8.9,55.5,39,9.1,Nunhead
273,Waltham Forest - Markhouse,Markhouse,13636,97.6,75.9,78,23.16661778,7.8,58.2,45.8,19,Markhouse
274,Lambeth - Thurlow Park,Thurlow Park,13641,61.1,76.8,84,21.06150575,8.8,36.3,30.3,8.7,Thurlow Park
275,Hackney - De Beauvoir,De Beauvoir,13643,53.7,77.7,81.5,16.1034963,7,39.9,37.8,11.7,De Beauvoir
276,Hackney - Queensbridge,Queensbridge,13670,69.8,75.9,82.6,17.54206291,8.2,44.7,38.3,11.8,Queensbridge
277,Redbridge - Mayfield,Mayfield,13672,111.4,78.1,82.9,24.2612639,11.6,73.3,41.1,13.5,Mayfield
278,Tower Hamlets - Bethnal Green North,Bethnal Green North,13683,54.5,73.6,78.6,18.55587225,7,49.4,38.7,15,Bethnal Green North
279,Lambeth - Gipsy Hill,Gipsy Hill,13712,70.1,77.2,83,22.49124854,8.1,44.9,30.6,7.7,Gipsy Hill
280,Haringey - Bounds Green,Bounds Green,13725,61.9,74.2,81.6,18.67395264,9.2,39.8,48.5,21.5,Bounds Green
281,Southwark - Rotherhithe,Rotherhithe,13743,54.8,76.3,79.2,17.23786655,7.4,40.9,43.4,15.2,Rotherhithe
282,Brent - Welsh Harp,Welsh Harp,13753,85,81.2,88.5,21.34806951,11.4,61.3,55,22.9,Welsh Harp
283,Enfield - Chase,Chase,13762,63.5,76.8,80.8,22.19154193,13.2,23.4,21,7,Chase
284,Southwark - South Bermondsey,South Bermondsey,13780,60.5,77.2,81.1,20.52975327,7.2,44.8,41.1,14.6,South Bermondsey
285,Enfield - Southgate Green,Southgate Green,13787,57.8,78.2,85.2,18.11126423,15.3,33.2,36.2,14,Southgate Green
286,Enfield - Cockfosters,Cockfosters,13788,46.1,81.5,86.8,17.2251233,19,26.3,30.5,9.5,Cockfosters
287,Lambeth - Clapham Town,Clapham Town,13795,37.9,75.5,81.7,14.59224357,7.3,29.3,35.2,7.8,Clapham Town
288,Waltham Forest - Cann Hall,Cann Hall,13799,106.8,77,81.3,21.68997753,7.1,57,48.8,18.2,Cann Hall
289,Hillingdon - Brunel,Brunel,13841,47.2,78.2,83.4,15.5263348,11.1,38.2,29.3,9.8,Brunel
290,Newham - East Ham North,East Ham North,13866,92.8,71.3,76.9,21.87364777,7.9,90.8,60.2,31.5,East Ham North
291,Islington - Caledonian,Caledonian,13896,49.2,75.5,81.9,15.24899252,9,34.7,37.3,14.4,Caledonian
292,Ealing - Lady Margaret,Lady Margaret,13897,91.3,78.2,81.9,20.19860402,11,83.5,55.9,25.2,Lady Margaret
293,Hackney - Haggerston,Haggerston,13904,39.8,73.8,84.1,15.98820483,5.7,45.6,45.9,17.4,Haggerston
294,Ealing - Dormers Wells,Dormers Wells,13910,76.8,77,82.3,22.39396118,11.6,82.1,56,29.1,Dormers Wells
295,Waltham Forest - Hoe Street,Hoe Street,13912,79.1,75.9,81.7,21.07533065,8.8,49.9,42.8,17.2,Hoe Street
296,Enfield - Bush Hill Park,Bush Hill Park,13923,61.1,79.6,84,18.02054155,17.2,26.8,25.7,7.7,Bush Hill Park
297,Haringey - Noel Park,Noel Park,13939,53,74.8,84.7,19.09749623,8.5,45.2,51.7,25.4,Noel Park
298,Hillingdon - Uxbridge South,Uxbridge South,13979,36.6,75.1,81.8,13.26275127,9.6,37.9,30.9,10,Uxbridge South
299,Brent - Alperton,Alperton,14017,87.6,76.7,87,19.00549333,9.5,81.8,66.8,32.3,Alperton
300,Ealing - Ealing Common,Ealing Common,14019,49.6,77,86.3,15.22219844,11.3,31.5,43.1,15.4,Ealing Common
301,Ealing - Ealing Broadway,Ealing Broadway,14029,49.7,79.7,85,14.54843538,11.9,30.5,44.3,18.6,Ealing Broadway
302,Ealing - Norwood Green,Norwood Green,14032,70.7,78.2,79.9,20.62428734,10.7,78,50.7,25.6,Norwood Green
303,Hackney - Leabridge,Leabridge,14039,71.9,73.7,78.1,21.09124582,7,52.7,40.7,17.3,Leabridge
304,Lewisham - Blackheath,Blackheath,14039,56.8,77.4,82.4,18.38450032,10.9,30.2,29.3,7.4,Blackheath
305,Greenwich - Peninsula,Peninsula,14051,68.2,74.6,85.1,16.92406234,8.3,30.6,33,10.4,Peninsula
306,Enfield - Bowes,Bowes,14051,85.4,78.5,83.8,17.24432425,10.6,38.6,47.5,23.3,Bowes
307,Waltham Forest - Chapel End,Chapel End,14086,103.4,75.8,86.7,24.11614369,8,48.5,36.9,14.1,Chapel End
308,Hillingdon - Townfield,Townfield,14106,94.6,74.8,79.4,23.1958032,9.8,62.9,44.7,18.1,Townfield
309,Redbridge - Valentines,Valentines,14123,99.7,75.9,86.4,24.03172131,8.7,77.6,50.3,21,Valentines
310,Waltham Forest - High Street,High Street,14127,97.4,78.4,81.7,19.50874213,7.6,50.7,44.4,18,High Street
311,Southwark - Livesey,Livesey,14129,80,77,81.5,23.56854696,9.1,62.2,44.3,11.9,Livesey
312,Southwark - Newington,Newington,14136,48.1,77.5,83.2,17.28211658,8.5,48.2,42.5,13.6,Newington
313,Lambeth - Vassall,Vassall,14143,47.1,74.3,82.1,18.01597964,7.2,52.7,40,12.1,Vassall
314,Wandsworth - Shaftesbury,Shaftesbury,14160,51,80.8,84.9,12.71892655,7.7,18.8,29,5.7,Shaftesbury
315,Tower Hamlets - Bethnal Green South,Bethnal Green South,14166,51,77.1,87.3,19.70916278,5.3,64.3,45.5,23.1,Bethnal Green South
316,Waltham Forest - Leyton,Leyton,14184,83.6,79,80.7,24.28087986,7.4,63.5,48.8,20.8,Leyton
317,Ealing - Hobbayne,Hobbayne,14229,77.7,77.5,86,22.60172886,11.3,37.7,40.7,17.2,Hobbayne
318,Lewisham - Whitefoot,Whitefoot,14249,71.4,77.5,82.7,25.7912836,11.3,50.5,29.5,6.8,Whitefoot
319,Redbridge - Chadwell,Chadwell,14257,90.5,77.9,81.8,24.66858385,10.3,56.9,31.6,9.9,Chadwell
320,Lambeth - Prince's,Prince's,14262,65.9,74.5,81.5,16.89805076,9.3,43.4,38.5,12.4,Prince's
321,Lambeth - Streatham Hill,Streatham Hill,14263,57.1,76.4,79.9,18.32012901,8.4,37.9,37.8,12.4,Streatham Hill
322,Croydon - Shirley,Shirley,14296,71.4,83,85.4,20.62814773,16.7,30.9,19.7,3.9,Shirley
323,Greenwich - Kidbrooke with Hornfair,Kidbrooke with Hornfair,14300,73.2,76.2,84.1,20.32167832,11.9,33.6,27.3,7.6,Kidbrooke with Hornfair
324,Lambeth - Streatham South,Streatham South,14336,69.3,81.3,84.5,20.66824777,10.9,52.5,44.5,15.8,Streatham South
325,Ealing - Greenford Green,Greenford Green,14349,94.4,79,84,20.96313332,11.9,49,50.1,21.9,Greenford Green
326,Hounslow - Brentford,Brentford,14353,62.7,76.7,85.7,17.91263151,9.9,33.9,38.3,15,Brentford
327,Enfield - Jubilee,Jubilee,14355,92,77.2,82.2,23.79658656,11.9,50.9,40.8,16.9,Jubilee
328,Islington - Finsbury Park,Finsbury Park,14358,46.8,74.2,78.8,18.41482101,8.5,42.9,41.6,17.5,Finsbury Park
329,Hillingdon - West Drayton,West Drayton,14370,77.9,75.3,81.9,22.75574113,11.5,33.5,27.6,9.2,West Drayton
330,Enfield - Turkey Street,Turkey Street,14377,74.1,76.2,81.4,25.51297211,11.5,37.9,31,14.1,Turkey Street
331,Greenwich - Charlton,Charlton,14385,89.3,74.1,79.9,21.81438999,10.7,36.2,31,9.4,Charlton
332,Southwark - Riverside,Riverside,14390,50,78,80.8,12.44614315,6.4,31.2,40.5,12.7,Riverside
333,Enfield - Southgate,Southgate,14454,67,81.1,85.4,18.83907569,14.1,31.6,33.2,11.7,Southgate
334,Tower Hamlets - Bromley-by-Bow,Bromley-by-Bow,14480,80.8,76.3,83,26.73342541,5.8,70.4,43.5,22,Bromley-by-Bow
335,Haringey - Bruce Grove,Bruce Grove,14483,83.9,75.2,83,22.46081613,8.4,55.9,55.5,23.5,Bruce Grove
336,Enfield - Southbury,Southbury,14506,87.5,79.6,81.3,24.98276575,9.5,36.2,30.2,12,Southbury
337,Haringey - Woodside,Woodside,14514,59,74,84.4,19.18836985,8.5,43.2,54.2,25.6,Woodside
338,Lewisham - Ladywell,Ladywell,14515,63.6,74.5,79.2,18.32586979,8.9,45.4,35.4,9.4,Ladywell
339,Ealing - Elthorne,Elthorne,14539,71.4,74.8,85.5,19.69874132,9.7,34.9,40.6,16.9,Elthorne
340,Redbridge - Aldborough,Aldborough,14544,69.2,77.4,82.2,23.00605061,12.4,61.3,38.4,12.8,Aldborough
341,Ealing - Cleveland,Cleveland,14558,59.1,76.8,85.9,21.70627833,11.9,36.9,39.6,15.1,Cleveland
342,Lewisham - Downham,Downham,14567,66.7,74.3,81.8,24.70652845,12.7,41.7,24.8,6.2,Downham
