X,Wardname,Wardname_rn,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardname_rn
343,Lewisham - Lee Green,Lee Green,14573,78,77.1,81.2,19.30968229,10.9,33.7,28.9,8.1,Lee Green
344,Wandsworth - Bedford,Bedford,14575,51.1,78.2,82.6,14.64150943,7.5,27.6,30.3,8.3,Bedford
345,Ealing - Southall Green,Southall Green,14579,111.7,75.9,87.1,22.3266342,8.2,91.4,63.3,36.7,Southall Green
346,Haringey - Tottenham Green,Tottenham Green,14580,64.6,72.5,82.8,20.41838134,8.2,52.8,55,25.8,Tottenham Green
347,Waltham Forest - Grove Green,Grove Green,14604,80.5,74.4,80.8,19.04272802,7.1,53.2,53,21.2,Grove Green
348,Croydon - Purley,Purley,14607,79.6,79.6,83.6,19.46327103,15,31.6,23.1,5,Purley
349,Wandsworth - Fairfield,Fairfield,14613,46.2,77.2,80.3,12.67364675,6.7,22.1,32.5,7.1,Fairfield
350,Islington - Bunhill,Bunhill,14639,44.5,75.5,82.1,13.45037229,7.9,34.5,41.9,16.6,Bunhill
351,Lewisham - Grove Park,Grove Park,14648,66.4,77.2,82.2,20.82878209,12.6,37.5,26.9,7,Grove Park
352,Redbridge - Clementswood,Clementswood,14666,93.1,76.7,81.2,26.63984727,7.4,84.2,55.6,25.1,Clementswood
353,Wandsworth - Nightingale,Nightingale,14679,63.3,75.3,79.2,16.20682608,9.5,21.4,27.7,6.7,Nightingale
354,Havering - Gooshays,Gooshays,14692,68.6,76.3,80.4,23.23713586,12.9,12.8,10.7,2.6,Gooshays
355,Ealing - North Greenford,North Greenford,14713,87.7,79.8,87.4,20.28818052,11.4,56.4,51.4,22.1,North Greenford
356,Southwark - Peckham,Peckham,14720,89,75.8,77.8,24.26630435,6.2,70.8,47.6,12.3,Peckham
357,Croydon - Ashburton,Ashburton,14721,60,78.5,82.3,21.77841179,13.2,36.7,22.3,4.8,Ashburton
358,Brent - Wembley Central,Wembley Central,14727,88.1,76.8,88.2,18.21144836,9.7,86,68.5,32.9,Wembley Central
359,Hounslow - Hounslow Heath,Hounslow Heath,14727,97.2,76,87.6,23.11400828,7.8,72.6,58,27.7,Hounslow Heath
360,Hackney - Dalston,Dalston,14727,57.2,80.9,79.8,16.45956407,6.2,44.5,40.8,14,Dalston
361,Wandsworth - West Putney,West Putney,14742,50.4,75.6,79.9,17.79948447,13.3,22.9,34.4,9.5,West Putney
362,Wandsworth - Balham,Balham,14751,59.5,79.3,84.4,15.68707206,7.8,19.4,28.5,6.5,Balham
363,Lambeth - Knight's Hill,Knight's Hill,14763,73.7,74.4,79.4,23.24730746,9,47.7,35.3,11.6,Knight's Hill
364,Hillingdon - Pinkwell,Pinkwell,14767,94.4,74.5,86.2,26.33574863,8.6,68.2,45.3,18.5,Pinkwell
365,Lewisham - Bellingham,Bellingham,14775,76.6,75.2,79.1,25.15736041,10.2,51.3,29.6,6.2,Bellingham
366,Tower Hamlets - Bow East,Bow East,14781,64.2,71.3,80.8,17.46160612,7.4,39.9,30.9,10.9,Bow East
367,Newham - Canning Town North,Canning Town North,14810,72.4,74.6,75.9,22.95746117,7.7,59.2,47.9,18.6,Canning Town North
368,Bromley - Chislehurst,Chislehurst,14831,59.7,81.2,83,17.98260401,21.5,12,12.7,1.9,Chislehurst
369,Wandsworth - Thamesfield,Thamesfield,14842,63.7,81.4,82.9,15.17315726,8.8,12.3,31.4,5.8,Thamesfield
370,Newham - Wall End,Wall End,14846,89,78.6,80.3,25.23912165,6.5,82.2,59.8,29.7,Wall End
371,Lewisham - Forest Hill,Forest Hill,14854,74.1,76.5,80.4,21.11889053,10,38.2,31.1,8.2,Forest Hill
372,Tower Hamlets - Whitechapel,Whitechapel,14862,66.9,73.6,83.2,16.37060961,5.6,60.2,48.8,24.8,Whitechapel
373,Ealing - South Acton,South Acton,14873,62.9,76.4,79.8,20.45317017,11.1,43.5,50.5,23.4,South Acton
374,Bromley - West Wickham,West Wickham,14884,52.2,80.9,84.7,19.853534,19.7,10.6,9.7,1.3,West Wickham
375,Enfield - Town,Town,14906,61.6,79.9,83.8,20.17308466,14.9,18,17.1,4.4,Town
376,Lambeth - Streatham Wells,Streatham Wells,14906,68.6,75.4,77.7,19.32778747,8.3,43.1,41.2,14.2,Streatham Wells
377,Brent - Kensal Green,Kensal Green,14915,94.6,76.7,83.1,19.5507878,9,52.3,50.2,21.9,Kensal Green
378,Lewisham - Rushey Green,Rushey Green,14916,78.2,75.2,80.1,22.03673907,9,59.1,38,10.2,Rushey Green
379,Lewisham - Crofton Park,Crofton Park,14937,84.4,78.5,86.4,19.53538194,9.1,39.6,30.1,7,Crofton Park
380,Wandsworth - Northcote,Northcote,14940,72.9,80.1,81.1,19.03614458,6,14.9,28.9,5.7,Northcote
381,Southwark - Cathedrals,Cathedrals,14941,26.6,75,93.3,10.68870892,7.4,38.4,40,10.4,Cathedrals
382,Brent - Sudbury,Sudbury,14950,115,80.5,84.8,20.66220736,10.5,77.3,62.2,28.4,Sudbury
383,Havering - Brooklands,Brooklands,14957,67.1,73.8,77.7,21.0670589,13.5,22.3,17.4,4.4,Brooklands
384,Croydon - Kenley,Kenley,14966,76,78,80.7,20.76039022,14.9,23.2,17.9,3,Kenley
385,Islington - Holloway,Holloway,14983,35,72.8,81.1,15.57765468,8.2,36.1,39.6,14.9,Holloway
386,Wandsworth - East Putney,East Putney,15022,45.7,80.7,85.1,13.273865,11,20.6,39.4,9.3,East Putney
387,Islington - Highbury West,Highbury West,15030,54.4,75.3,85.1,15.18962076,6.7,32.1,34.5,12.8,Highbury West
388,Southwark - Camberwell Green,Camberwell Green,15032,69.6,74.4,85.1,21.18813199,7.4,61.1,46.8,13.4,Camberwell Green
389,Lambeth - Ferndale,Ferndale,15032,37.5,74.8,82.6,12.55987227,6.2,40.4,41.7,11.8,Ferndale
390,Hillingdon - Botwell,Botwell,15034,94.5,75.6,82,24.96341626,9.1,60.2,42.7,17.9,Botwell
391,Brent - Dudden Hill,Dudden Hill,15059,76,85.3,88.1,20.39976094,9.7,55.9,56.2,23.8,Dudden Hill
392,Haringey - Tottenham Hale,Tottenham Hale,15064,69.1,75.7,78.3,23.64577801,7.8,57.4,53.5,22.3,Tottenham Hale
393,Bromley - Bickley,Bickley,15098,57.7,78.3,81.5,19.22108889,19.8,14.5,15.7,2.7,Bickley
394,Brent - Tokyngton,Tokyngton,15105,99.6,80.5,86.6,18.41774247,11.3,76.3,62.9,26.6,Tokyngton
395,Lambeth - Oval,Oval,15106,42.1,77.1,79.8,13.9944393,7.2,36.9,42.6,15,Oval
396,Lambeth - Herne Hill,Herne Hill,15107,67.3,74.3,82.8,18.36896803,7.2,39.6,35.3,10.8,Herne Hill
397,Tower Hamlets - Shadwell,Shadwell,15110,78.3,81,95.2,22.38914626,6.3,64.4,45.1,23.2,Shadwell
398,Newham - Green Street West,Green Street West,15113,86.8,80.7,86.6,21.01502018,7.4,89.3,61.1,32.7,Green Street West
399,Ealing - Northolt West End,Northolt West End,15121,102.2,78.6,86,25.55386549,9.8,55.1,41.5,18.6,Northolt West End
400,Newham - Beckton,Beckton,15141,55.1,81.9,82.6,21.99326332,4.8,54.2,49.7,23.5,Beckton
401,Brent - Queensbury,Queensbury,15155,73.2,85.1,85.8,20.08578027,12.2,72.9,57.7,24.1,Queensbury
402,Barnet - Totteridge,Totteridge,15159,68.7,80.3,83,20.10686721,16.8,34.3,37.6,13.7,Totteridge
403,Enfield - Palmers Green,Palmers Green,15162,64.8,78.9,83.3,18.84316053,13.3,35.4,41.4,18.1,Palmers Green
404,Redbridge - Seven Kings,Seven Kings,15164,82.3,78,79.7,24.21524664,9.2,76.7,47.6,19.3,Seven Kings
405,Hounslow - Hounslow Central,Hounslow Central,15169,81.6,78.5,87,18.53121498,9.5,70.7,64.5,29.5,Hounslow Central
406,Hackney - Hoxton,Hoxton,15174,47.7,77.9,84,15.86265981,6.2,46.5,44.8,16.6,Hoxton
407,Southwark - Chaucer,Chaucer,15178,36.3,88.5,97.5,14.8240875,5.2,49.9,45.2,13.3,Chaucer
408,Ealing - Northolt Mandeville,Northolt Mandeville,15183,91.7,77.6,85,23.50655338,10.7,51.7,44.1,19.5,Northolt Mandeville
409,Wandsworth - Graveney,Graveney,15198,63.8,76.9,84,17.87077247,8.8,46.4,42.4,14.4,Graveney
410,Lewisham - Catford South,Catford South,15214,68.9,77.4,81.4,21.4670698,11.3,56.2,32.2,7.1,Catford South
411,Wandsworth - Wandsworth Common,Wandsworth Common,15247,72.8,76.7,79.6,18.69220174,8.1,17.8,25.7,4.5,Wandsworth Common
412,Brent - Queens Park,Queens Park,15281,76.3,80.4,87.9,17.98311629,8.6,37,41.9,14.4,Queens Park
413,Barnet - High Barnet,High Barnet,15307,56.5,78.2,82.3,18.45560855,16.5,18.3,22.1,6.3,High Barnet
414,Bromley - Orpington,Orpington,15311,57,79.1,84.6,19.16269349,21.2,12.6,11.9,2.3,Orpington
415,Newham - Manor Park,Manor Park,15318,97.6,75.3,79.5,23.5082909,7.1,81.5,56.2,27.6,Manor Park
416,Ealing - Perivale,Perivale,15339,88.3,82.6,87,20.12517113,11,54.6,55.4,26.7,Perivale
417,Wandsworth - Latchmere,Latchmere,15358,59.1,73,81.5,18.96080219,8.5,44.5,39.7,11.5,Latchmere
418,Southwark - Grange,Grange,15362,59.7,77.9,81.1,14.10623617,6.5,39.1,38.3,10.8,Grange
419,Bromley - Copers Cope,Copers Cope,15392,61.5,77.4,82.4,13.16917879,16.8,17.4,20.3,4.6,Copers Cope
420,Ealing - Acton Central,Acton Central,15427,75.1,81.3,90.7,19.66033577,9.6,40,48.3,21,Acton Central
421,Bromley - Cray Valley East,Cray Valley East,15445,70.1,77.6,81.1,22.1819359,15.9,14.6,12.3,2.5,Cray Valley East
422,Wandsworth - Earlsfield,Earlsfield,15448,68.1,76.1,84.2,14.95986535,6.7,27.7,33.4,8.2,Earlsfield
423,Newham - Plaistow North,Plaistow North,15470,96,75.3,82.2,23.60051713,7.1,73.4,52.1,23.6,Plaistow North
424,Brent - Preston,Preston,15474,100.4,80.1,86.2,20.4278144,12.4,70,57.3,22.8,Preston
425,Wandsworth - Furzedown,Furzedown,15504,74.2,77.2,81.4,22.04592363,9.8,43.1,36.7,12.9,Furzedown
426,Brent - Mapesbury,Mapesbury,15529,72.6,78.6,86,16.06671389,8.3,43.4,52.3,21.3,Mapesbury
427,Hounslow - Feltham West,Feltham West,15541,93.6,77.1,82.7,24.99195676,6.3,35.5,32.3,14.2,Feltham West
428,Newham - West Ham,West Ham,15551,64.1,77.2,80.9,21.59989711,7,65.5,51.2,22.1,West Ham
429,Bromley - Clock House,Clock House,15560,77.7,78.8,84.7,19.78791774,11.5,20.6,17.3,3.9,Clock House
430,Ealing - Hanger Hill,Hanger Hill,15561,71.1,83.2,88.2,18.97050318,12.8,43.1,53.1,23.8,Hanger Hill
431,Southwark - The Lane,The Lane,15565,87.8,74.5,83.8,19.83938323,9.1,50.7,37.7,8.5,The Lane
432,Newham - East Ham South,East Ham South,15575,100,74.9,80.2,27.85232745,7.4,67.7,46.6,19.7,East Ham South
433,Brent - Willesden Green,Willesden Green,15587,54.4,78.2,88.1,19.1634054,7.6,52.7,56.3,25.9,Willesden Green
434,Lewisham - Sydenham,Sydenham,15605,71.8,75.4,80.3,20.16661326,11.9,41.8,30.2,7.1,Sydenham
435,Lewisham - Perry Vale,Perry Vale,15618,73.5,76.2,80.8,20.68766808,9.6,42.5,30.5,7.2,Perry Vale
436,Enfield - Ponders End,Ponders End,15664,61.6,77.6,80.8,25.90015322,9.1,54.6,43.5,19,Ponders End
437,Waltham Forest - Lea Bridge,Lea Bridge,15671,107,73.2,77.7,23.89126412,8.4,64.8,50.4,21.2,Lea Bridge
438,Greenwich - Abbey Wood,Abbey Wood,15704,105.3,74.3,81.1,26.85303107,9.6,46.3,32,7.6,Abbey Wood
439,Barnet - Finchley Church End,Finchley Church End,15715,72.1,82.4,86.3,18.75278396,16.5,33.1,40.9,14.5,Finchley Church End
440,Lewisham - New Cross,New Cross,15756,74.9,73.7,78.2,20.1891343,5.9,59.7,46.6,15.3,New Cross
441,Lambeth - Tulse Hill,Tulse Hill,15771,63.2,77.4,81.4,21.02593368,6.6,52.6,38.6,11.3,Tulse Hill
442,Brent - Barnhill,Barnhill,15772,79,79.6,82.7,20.87877251,12.3,69.7,56.5,22.9,Barnhill
443,Croydon - Croham,Croham,15790,77.8,78.9,83.3,18.24572514,12,31.3,24.3,6.5,Croham
444,Barnet - Oakleigh,Oakleigh,15811,72.5,78.9,84.3,19.10062615,16.4,26.7,28.5,8.6,Oakleigh
445,Lambeth - Brixton Hill,Brixton Hill,15842,44.5,74.8,78.4,15.70508774,7,41.5,37.4,11.1,Brixton Hill
446,Newham - Green Street East,Green Street East,15885,96.4,81.9,83,22.2599937,5.7,89.9,62.2,33.2,Green Street East
447,Barnet - Underhill,Underhill,15915,48.9,78.2,82.6,20.57178762,16.2,27.3,25.4,6.9,Underhill
448,Newham - East Ham Central,East Ham Central,15917,104.2,75.1,81.7,22.45398002,7.1,81.9,61.4,29.1,East Ham Central
449,Havering - Romford Town,Romford Town,15921,70,76.4,81,17.67476917,14,16.4,16.6,5.6,Romford Town
450,Barnet - Garden Suburb,Garden Suburb,15929,73.5,82.7,87.3,20.36537134,16.3,21.4,36,10.9,Garden Suburb
451,Haringey - Seven Sisters,Seven Sisters,15968,90.7,77.6,89.3,27.04158317,7.3,41.2,49.1,22.5,Seven Sisters
452,Newham - Boleyn,Boleyn,15982,89,75.6,82.4,24.94055813,7.5,78.1,54.8,26.4,Boleyn
453,Tower Hamlets - Limehouse,Limehouse,15986,70.3,77,79.3,22.27574127,6.2,56.8,43.8,19.7,Limehouse
454,Barnet - East Finchley,East Finchley,15989,67.8,79.3,84.9,18.86922259,13,28.2,34.4,10.4,East Finchley
455,Newham - Canning Town South,Canning Town South,15996,59.8,74.5,85.9,21.08652163,7.1,54.5,47.5,19.9,Canning Town South
456,Enfield - Enfield Highway,Enfield Highway,16027,70.6,78.1,86.2,26.25569352,10.3,42.2,34.3,14.5,Enfield Highway
457,Croydon - Upper Norwood,Upper Norwood,16082,82.2,78.1,82.8,20.99241388,11,51.3,33.9,9,Upper Norwood
458,Wandsworth - Roehampton,Roehampton,16132,48.3,74.1,81.2,18.45400446,10.5,34.5,38.6,15.5,Roehampton
459,Barnet - East Barnet,East Barnet,16137,65.8,80.5,84.5,20.72256305,13.7,23.4,23.4,7.2,East Barnet
460,Croydon - Bensham Manor,Bensham Manor,16201,90.1,80.9,84.3,23.06030492,9.8,73.5,45.3,12.9,Bensham Manor
461,Wandsworth - Tooting,Tooting,16239,57.3,76,79.7,17.90750662,9,52.7,45.4,15.2,Tooting
462,Wandsworth - Southfields,Southfields,16256,70,78.9,89.8,18.50393701,7.7,24.4,34.8,9,Southfields
463,Newham - Forest Gate North,Forest Gate North,16257,69.6,74.2,79.8,21.27083718,6.9,64.1,50.5,21,Forest Gate North
464,Enfield - Haselbury,Haselbury,16263,83.4,81,83.4,25.41966427,9.3,54.3,46,22.1,Haselbury
465,Wandsworth - Queenstown,Queenstown,16331,42,76.9,84.6,14.18774111,7.8,35.7,42.4,15.4,Queenstown
466,Barnet - Brunswick Park,Brunswick Park,16394,55.2,83.8,83.2,20.6233988,14.4,31.6,30.9,10.2,Brunswick Park
467,Wandsworth - West Hill,West Hill,16402,56.1,75.8,78.3,18.84526277,9.5,31.7,43.5,13.5,West Hill
468,Newham - Plaistow South,Plaistow South,16404,102.3,75.4,83.4,25.10972933,6.6,67.3,51.7,21.9,Plaistow South
469,Lewisham - Telegraph Hill,Telegraph Hill,16414,53.8,76.4,78.8,19.53210674,7,49.4,36.9,10.9,Telegraph Hill
470,Enfield - Enfield Lock,Enfield Lock,16469,91.1,76.4,79.1,27.28763131,8.2,45.1,33.8,14,Enfield Lock
471,Croydon - Norbury,Norbury,16476,73.7,81.5,82.8,21.01845108,13.4,62.3,43.6,13,Norbury
472,Croydon - South Norwood,South Norwood,16518,75.6,75.6,84.4,21.29797796,9.9,52.3,32.1,8.2,South Norwood
473,Greenwich - Greenwich West,Greenwich West,16527,64.3,75.6,82.1,17.43208084,7.7,33.3,34.8,9.7,Greenwich West
474,Enfield - Lower Edmonton,Lower Edmonton,16531,111.2,75.7,79.8,27.45145484,9.2,58.9,46.1,19.5,Lower Edmonton
475,Barnet - West Finchley,West Finchley,16533,64.6,79.9,81.6,17.55882175,12.5,39.2,44.7,19,West Finchley
476,Croydon - Thornton Heath,Thornton Heath,16539,87.1,75.6,82.8,25.02569684,9.1,67.1,37.6,9.4,Thornton Heath
477,Croydon - Fairfield,Fairfield,16569,74.2,79.2,80.9,17.58706017,11.7,48.7,42.3,13.7,Fairfield
478,Lewisham - Evelyn,Evelyn,16603,65.5,76.7,84,23.20062639,6,60.9,44.8,16,Evelyn
479,Newham - Little Ilford,Little Ilford,16633,107.8,71.2,78.9,27.78211988,6.7,82,54.5,27.3,Little Ilford
480,Barnet - Edgware,Edgware,16728,76.4,80.1,83.6,23.32018173,13.8,39.2,37.4,12.1,Edgware
481,Greenwich - Plumstead,Plumstead,16736,106.6,74,83.3,23.35683556,8.6,55.4,41.7,14.6,Plumstead
482,Croydon - Woodside,Woodside,16743,75.4,79.3,80.6,24.3863107,7.9,55.1,28.4,6.3,Woodside
483,Redbridge - Newbury,Newbury,16760,84.5,78.8,83.8,25.44749403,9.1,77.2,47.5,17.6,Newbury
484,Bromley - Cray Valley West,Cray Valley West,16769,68.2,76.6,82.6,23.62693065,14.9,13.9,10.9,2.5,Cray Valley West
485,Lambeth - Coldharbour,Coldharbour,16784,63,73.1,80,21.5622021,6.1,62.1,43.7,13.3,Coldharbour
486,Bromley - Bromley Town,Bromley Town,16826,73.4,78,81.1,19.3510044,13.9,18.5,19.9,4.9,Bromley Town
487,Croydon - Addiscombe,Addiscombe,16883,64.9,76.8,81.4,18.68151395,9.7,43.6,34.5,10.2,Addiscombe
488,Brent - Stonebridge,Stonebridge,16903,72.6,75.1,87.9,28.19026208,8.7,76.5,48.8,17.2,Stonebridge
489,Brent - Kilburn,Kilburn,16989,81.4,76.2,84.2,18.60027076,8.6,50,48.1,18.4,Kilburn
490,Croydon - Waddon,Waddon,17077,74.1,74.8,80.1,22.27557534,11,44.6,30.1,8.9,Waddon
491,Barnet - Colindale,Colindale,17098,68.6,76.4,84.6,22.23067025,8.4,59.9,52.7,23.2,Colindale
492,Lewisham - Brockley,Brockley,17156,53,75,80.1,15.24830963,6.5,43.1,36.8,10.5,Brockley
493,Brent - Harlesden,Harlesden,17162,106.9,71.9,80.6,25.86528377,8,67,52.9,23,Harlesden
494,Lambeth - Larkhall,Larkhall,17243,38.8,74,79.2,16.65603433,6.2,43.3,42.2,13,Larkhall
495,Barnet - Coppetts,Coppetts,17250,72.5,76.7,81.1,19.71014493,10.3,35,36.1,13.6,Coppetts
496,Newham - Forest Gate South,Forest Gate South,17362,61.8,74.6,77.2,19.4102062,6.5,68.2,54.8,25.5,Forest Gate South
497,Enfield - Upper Edmonton,Upper Edmonton,17374,88.4,75.4,76.7,25.843214,9.2,58,48.4,22.7,Upper Edmonton
498,Barnet - West Hendon,West Hendon,17402,85.8,78.2,84.3,19.80806804,11.4,50.6,53.6,24.7,West Hendon
499,Barnet - Hale,Hale,17437,90.5,81.2,83.8,23.10603888,13.4,40.6,35.7,11.7,Hale
500,Lewisham - Lewisham Central,Lewisham Central,17446,67.4,71.4,77.6,18.33084948,8.4,51.6,41.2,12.4,Lewisham Central
501,Croydon - West Thornton,West Thornton,17489,81.5,77.6,82.5,25.05003145,9.5,76.5,46.5,15.1,West Thornton
502,Greenwich - Woolwich Common,Woolwich Common,17499,100.5,73.9,85.4,26.91010915,5.9,57.6,41.8,13.6,Woolwich Common
503,Barnet - Woodhouse,Woodhouse,17575,57.8,78.6,81.1,18.74822191,13.6,37.6,41,16.2,Woodhouse
504,Ealing - Greenford Broadway,Greenford Broadway,17625,93.5,77.4,81.2,23.44397163,11,57.3,48.6,22.2,Greenford Broadway
505,Enfield - Edmonton Green,Edmonton Green,17949,124.1,74.8,79.6,27.97370327,8.4,60.6,46.8,21.4,Edmonton Green
506,Croydon - Selhurst,Selhurst,18087,77.3,73.9,78.9,24.55354675,8.7,65.6,40.1,11.5,Selhurst
507,Greenwich - Glyndon,Glyndon,18171,91,73.2,77.4,22.86060206,7.1,55,42.2,13.8,Glyndon
508,Barnet - Burnt Oak,Burnt Oak,18217,94.3,74.7,82.1,24.58143492,9.3,53.5,47.1,19.3,Burnt Oak
509,Barnet - Mill Hill,Mill Hill,18451,63.8,80.7,86.6,22.81719148,13.1,36.1,34.4,10.2,Mill Hill
510,Barnet - Hendon,Hendon,18472,88.4,80.1,85.3,20.08445214,11.9,36.3,48.2,20.3,Hendon
511,Croydon - Broad Green,Broad Green,18652,83.8,75.3,83.8,25.76131246,7.1,68.6,46.2,16.9,Broad Green
512,Ealing - East Acton,East Acton,18706,62.3,80.1,85.6,19.25050786,8.2,50.1,54.4,22.4,East Acton
513,Barnet - Golders Green,Golders Green,18818,98.7,78.3,84.2,27.1867361,12,34.2,45.8,17.5,Golders Green
514,Greenwich - Woolwich Riverside,Woolwich Riverside,19120,84.4,73.8,80.2,23.62970711,6.2,49,39.4,13.3,Woolwich Riverside
515,Greenwich - Thamesmead Moorings,Thamesmead Moorings,19730,122.5,74.3,77.5,28.64673087,4.7,57.6,41.8,12.1,Thamesmead Moorings
516,Barnet - Childs Hill,Childs Hill,20049,69,77.4,82,19.17302609,12.4,38.9,51.2,23,Childs Hill
517,Tower Hamlets - Millwall,Millwall,23084,58.1,83.6,95,15.56056143,3.5,47.6,52.1,23.4,Millwall
