,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardcode,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold
136,Redbridge - Wanstead,11543,70.2,79.9,84.3,19.3797106471455,14.5,30.0,22.8,5.7,00ATGB,72.1,35.2,18.5,2.9,9.2,1.0
137,Redbridge - Wanstead,11543,70.2,79.9,84.3,19.3797106471455,14.5,30.0,22.8,5.7,00BCGU,85.9,64.2,14.3,3.0,15.2,1.1
138,Southwark - East Walworth,11557,58.2,74.5,81.9,18.499610625594897,8.3,51.8,43.8,13.7,00BEGJ,166.9,24.1,53.9,7.4,20.8,0.4
139,Hounslow - Feltham North,11563,84.3,73.5,77.3,19.9688662111909,13.6,38.9,35.7,14.1,00ATGD,110.8,36.4,22.3,4.6,26.1,1.1
140,Bexley - North End,11566,89.6,74.0,79.0,26.8026975618191,10.6,27.0,18.8,3.3,00ADGR,89.9,65.3,37.4,8.9,28.8,0.9
141,Hillingdon - Northwood Hills,11578,76.7,78.9,86.0,18.863361547763,17.5,33.3,27.9,7.1,00ASGU,59.7,33.3,15.5,2.6,16.6,1.3
142,Sutton - Wandle Valley,11630,79.3,77.3,84.6,24.067067927773,9.0,24.8,19.8,5.7,00BFGU,69.2,40.5,33.6,6.6,23.7,1.0
143,Haringey - Highgate,11632,50.0,79.5,85.4,15.362792297111401,11.7,18.9,31.5,8.2,00APGG,77.9,42.4,11.1,3.3,6.4,0.8
144,Islington - Highbury East,11634,64.2,76.7,80.5,17.0190820010315,9.7,23.5,30.9,9.3,00AUGD,96.6,21.6,31.1,4.7,13.4,0.5
145,Harrow - Edgware,11653,91.0,79.6,83.9,20.2866214708659,11.4,65.3,56.5,24.8,00AQGA,63.9,15.0,10.3,4.3,22.5,1.1
146,Sutton - Worcester Park,11655,83.0,81.1,83.7,20.7893607893608,13.4,20.0,21.5,6.1,00BFGW,42.3,22.3,6.4,2.4,17.2,1.2
147,Redbridge - Bridge,11658,50.0,79.4,83.6,20.029164522216497,13.4,28.1,21.6,6.7,00ASGK,43.1,17.7,7.3,2.4,17.2,1.4
148,Redbridge - Bridge,11658,50.0,79.4,83.6,20.029164522216497,13.4,28.1,21.6,6.7,00BCGA,62.8,36.0,13.8,4.5,19.9,1.1
149,Hillingdon - Cavendish,11658,59.2,80.6,84.0,20.6210327671985,15.7,19.7,16.7,3.7,00ASGK,43.1,17.7,7.3,2.4,17.2,1.4
150,Hillingdon - Cavendish,11658,59.2,80.6,84.0,20.6210327671985,15.7,19.7,16.7,3.7,00BCGA,62.8,36.0,13.8,4.5,19.9,1.1
151,Harrow - Roxeth,11663,69.2,81.6,82.6,22.841464460258898,11.0,66.3,48.4,19.8,00AQGR,64.1,18.4,9.5,5.2,17.3,1.2
152,Hackney - Wick,11734,53.4,74.9,82.7,22.3197545594,7.9,51.6,35.1,10.9,00AMGU,95.9,29.5,53.8,12.2,22.8,0.5
153,Camden - Fortune Green,11740,52.6,80.7,84.8,15.0425894378194,9.7,29.0,43.4,16.1,00AGGH,80.4,18.0,16.7,5.0,9.2,0.6
154,Haringey - Stroud Green,11758,40.0,77.0,89.9,16.2782786188127,6.9,25.9,31.3,9.0,00APGP,69.9,24.6,22.9,5.5,10.1,0.6
155,Westminster - Church Street,11760,54.3,73.4,76.4,23.163265306122398,11.4,61.7,52.7,27.2,00BKGE,111.0,7.6,55.8,12.4,28.1,0.3
156,Islington - Hillrise,11794,56.8,74.9,80.6,19.2470747837884,9.0,33.7,32.9,10.4,00AUGF,69.3,18.3,45.3,7.6,17.9,0.5
157,Haringey - Alexandra,11795,65.8,79.2,83.5,21.610852055955895,9.9,20.5,26.8,8.5,00APGA,101.8,52.3,9.0,3.4,8.0,1.0
158,Southwark - College,11812,69.5,75.8,81.6,20.4029800203183,11.7,36.6,30.7,5.3,00BEGG,92.9,43.7,27.2,5.8,13.6,0.8
159,Camden - King's Cross,11843,34.1,76.9,81.5,14.506459511947998,7.2,49.2,50.9,22.4,00AGGS,164.3,13.5,46.1,7.5,12.1,0.2
160,Redbridge - Snaresbrook,11865,68.8,77.9,84.8,15.4150863885377,17.6,30.2,27.2,6.5,00BCGS,67.8,10.6,11.8,2.8,14.9,1.0
161,Bexley - Belvedere,11890,78.6,77.9,82.5,22.354920100925103,12.7,28.4,20.4,5.1,00ADGB,67.6,33.2,16.1,6.1,23.7,1.0
162,Camden - Cantelowes,11925,46.0,77.2,82.5,16.1844863731656,9.1,31.9,35.9,12.6,00AGGG,110.4,7.4,40.3,6.2,13.9,0.4
163,Hounslow - Isleworth,11977,89.7,74.9,82.9,21.3242047257243,9.8,34.8,33.8,11.7,00ATGQ,83.3,22.6,34.1,4.9,19.9,0.9
164,Hounslow - Isleworth,11977,89.7,74.9,82.9,21.3242047257243,9.8,34.8,33.8,11.7,00ARGF,46.7,31.2,3.9,2.5,23.1,1.6
165,Havering - Emerson Park,11977,52.2,78.7,81.3,16.3062536528346,21.3,17.7,11.4,1.7,00ATGQ,83.3,22.6,34.1,4.9,19.9,0.9
166,Havering - Emerson Park,11977,52.2,78.7,81.3,16.3062536528346,21.3,17.7,11.4,1.7,00ARGF,46.7,31.2,3.9,2.5,23.1,1.6
167,Harrow - Queensbury,11984,68.8,77.7,85.2,21.1949265687583,11.6,75.0,57.5,26.2,00AQGN,55.4,23.3,3.9,3.2,20.8,1.2
168,Islington - Junction,12025,40.0,77.0,83.3,15.3929313929314,10.7,30.6,34.7,11.5,00AUGH,99.9,16.6,43.3,6.9,16.8,0.4
169,Westminster - Harrow Road,12034,77.5,77.1,92.1,18.8964600299152,8.5,49.0,48.2,17.9,00BKGF,95.3,3.0,43.4,10.4,18.4,0.4
170,Camden - Kilburn,12038,59.4,72.0,78.9,17.311845821565,11.2,40.1,47.9,18.7,00AGGR,135.2,13.4,42.1,8.0,17.4,0.4
171,Redbridge - Roding,12044,68.0,80.3,83.8,22.7499169711059,10.3,37.2,28.2,8.7,00BCGQ,69.1,35.7,15.9,5.0,15.9,1.1
172,Hillingdon - Uxbridge North,12048,63.1,77.2,83.0,17.886786188579,15.9,30.2,23.4,5.9,00ASGZ,106.1,34.5,12.7,2.9,16.8,1.3
173,Bexley - Erith,12053,106.7,78.3,82.8,23.637268729776803,11.7,31.4,23.1,5.6,00ADGM,86.0,44.6,20.2,6.6,23.6,1.0
174,Camden - West Hampstead,12060,55.6,77.9,83.0,12.545605306799299,8.4,30.5,43.3,13.9,00AGGX,97.6,8.8,22.2,4.6,9.5,0.5
175,Westminster - Regent's Park,12067,54.1,80.9,83.5,15.2979199469628,16.3,43.7,59.9,23.7,00BKGP,76.4,62.2,19.1,2.2,13.0,0.6
176,Islington - Canonbury,12072,50.0,74.7,84.1,17.3376408217363,9.7,28.2,29.7,9.1,00AUGA,103.9,14.4,47.2,6.8,19.2,0.4
177,Bexley - Thamesmead East,12094,117.0,77.9,83.8,27.1622292045642,6.8,52.7,38.1,7.6,00ADGX,68.5,70.5,38.4,9.7,20.8,0.8
178,Brent - Kenton,12133,57.9,83.7,86.2,16.7229868952444,17.2,70.0,53.9,19.6,00AEGS,59.7,17.0,5.6,2.6,17.3,1.4
179,Hounslow - Hanworth,12155,85.0,77.5,87.1,24.2040312628548,11.0,32.4,28.9,11.3,00ATGF,84.9,45.3,38.6,6.7,26.4,1.0
180,Hillingdon - Heathrow Villages,12199,86.9,75.8,82.8,20.8213788015411,9.4,50.0,43.2,17.1,00ASGP,308.0,31.4,14.8,3.7,19.2,1.1
181,Islington - Barnsbury,12201,45.1,75.0,79.5,14.884025899516402,9.4,28.9,35.5,10.9,00AUFX,150.3,11.0,38.5,5.0,16.3,0.5
182,Hackney - Clissold,12212,60.9,77.1,83.5,18.711103832296104,6.6,34.7,32.0,10.6,00AMGD,82.5,12.3,34.0,5.6,14.3,0.5
183,Croydon - Coulsdon East,12244,65.1,81.8,85.7,19.1849068931722,19.6,15.4,11.8,1.5,00AHGJ,39.3,56.8,12.5,3.5,18.2,1.4
184,Bromley - Crystal Palace,12255,70.6,75.5,82.0,19.216646266829898,7.8,38.1,30.3,8.3,00AFGP,111.5,49.3,33.2,8.2,16.9,0.6
185,Harrow - Marlborough,12259,75.1,78.9,84.3,20.694999592136398,10.6,62.9,51.6,20.2,00AQGK,83.2,8.3,11.1,6.1,17.1,0.9
186,Havering - Hacton,12262,45.4,80.6,85.2,16.5878323275159,19.7,7.3,7.3,1.7,00ARGH,32.8,24.1,4.4,3.1,25.3,1.3
187,Harrow - Harrow on the Hill,12270,78.4,81.2,84.2,20.814995925020398,11.7,52.6,44.2,15.1,00AQGC,65.0,43.4,13.8,3.4,13.3,1.0
188,Hackney - Lordship,12280,111.6,75.1,84.8,27.451140065146603,8.4,30.5,31.4,13.1,00AMGN,61.9,33.6,37.0,7.1,24.2,0.5
189,Hounslow - Heston Central,12288,80.8,77.2,83.2,20.8414713541667,10.9,76.6,54.7,23.9,00ATGH,78.6,15.8,19.5,4.6,17.3,1.1
190,Hounslow - Heston East,12319,83.5,85.6,86.2,20.383147982790803,10.5,77.4,56.5,26.1,00ATGJ,83.7,27.1,15.7,4.6,16.1,1.2
191,Southwark - East Dulwich,12321,76.7,81.2,82.9,17.5229283337391,8.7,28.2,25.9,5.6,00BEGH,65.3,0.7,20.3,4.6,12.3,0.7
192,Hounslow - Cranford,12330,117.4,78.4,86.8,21.3787510137875,10.1,73.9,56.2,26.5,00ATGC,105.0,26.6,29.1,6.0,20.2,1.0
193,Hillingdon - South Ruislip,12364,82.1,77.6,83.8,20.1957295373665,12.6,27.0,23.2,7.7,00AGGM,118.8,8.2,49.2,7.7,18.6,0.4
194,Hillingdon - South Ruislip,12364,82.1,77.6,83.8,20.1957295373665,12.6,27.0,23.2,7.7,00ASGX,85.0,62.8,10.1,3.4,18.3,1.2
195,Camden - Haverstock,12364,65.9,76.7,81.4,19.4920737625364,11.1,37.1,36.3,10.7,00AGGM,118.8,8.2,49.2,7.7,18.6,0.4
196,Camden - Haverstock,12364,65.9,76.7,81.4,19.4920737625364,11.1,37.1,36.3,10.7,00ASGX,85.0,62.8,10.1,3.4,18.3,1.2
197,Kingston upon Thames - Canbury,12373,77.1,77.2,81.6,21.700476844742603,7.9,21.4,27.5,9.5,00AXGA,48.7,7.0,12.5,1.9,9.0,0.9
198,Hackney - Springfield,12378,126.5,80.2,84.2,33.1879140410406,6.9,44.9,39.4,18.2,00AMGR,64.6,26.5,47.0,10.8,31.7,0.4
199,Haringey - Crouch End,12395,59.1,78.1,82.3,15.8612343686971,8.9,18.0,29.2,7.6,00APGD,80.9,14.2,10.2,3.4,6.4,0.7
200,Southwark - Village,12402,65.5,77.9,81.6,23.738106756974698,10.9,20.1,22.0,3.5,00BEGZ,83.3,33.8,15.5,2.8,9.4,1.0
201,Harrow - Greenhill,12420,63.3,76.4,82.1,16.8276972624799,10.4,58.5,52.7,20.7,00AQGB,151.9,7.7,11.4,5.3,11.7,0.8
202,Hounslow - Heston West,12438,87.3,79.7,82.5,22.969930857051,10.3,76.2,51.1,23.9,00ATGK,126.4,39.1,33.7,7.0,21.8,1.1
203,Hackney - Stoke Newington Central,12445,50.1,74.9,85.9,15.958216151064699,7.0,39.9,36.6,13.0,00AMGS,111.6,13.3,32.2,8.3,14.2,0.4
204,Westminster - Hyde Park,12462,46.0,87.9,91.3,12.7427379232868,9.9,44.7,64.2,34.1,00BKGG,155.4,8.9,9.8,2.9,11.1,0.5
205,Havering - Elm Park,12466,63.2,76.9,84.5,17.9207444248356,19.4,13.7,10.9,2.1,00ARGE,50.6,55.7,15.1,5.0,29.6,1.1
206,Harrow - Canons,12471,72.9,81.1,87.2,18.362601234864897,19.6,48.4,40.1,12.5,00AQFZ,52.4,57.3,10.2,2.9,17.8,1.3
207,Haringey - Fortis Green,12488,49.2,81.5,87.3,21.2764253683536,11.0,20.1,27.5,8.3,00APGE,71.2,24.6,11.2,3.5,9.2,0.9
208,Greenwich - Eltham North,12519,57.9,77.9,86.0,18.6117102004952,16.6,11.3,13.9,3.4,00ALGT,59.9,24.6,17.0,4.1,20.0,1.1
209,Lambeth - Thornton,12526,65.8,79.0,85.2,20.661025067858898,7.9,40.5,37.0,10.1,00AYGS,59.9,22.4,39.1,5.9,14.2,0.6
210,Havering - Cranham,12528,47.0,80.8,84.5,17.233397190293697,23.5,5.6,6.0,1.1,00ARGD,34.7,55.9,4.8,2.7,22.2,1.3
211,Greenwich - Eltham South,12541,61.9,77.4,85.8,16.2586715572921,15.7,16.8,17.5,4.6,00ALGU,94.6,54.6,22.4,5.5,21.5,1.0
212,Hackney - Hackney Central,12548,68.7,75.0,80.3,17.5964297099139,7.7,52.7,40.5,12.8,00AMGG,136.8,14.1,50.7,11.0,18.4,0.3
213,Hackney - New River,12551,128.2,79.9,82.8,28.882160784001304,7.7,39.3,40.2,19.4,00AMGP,75.2,28.0,44.5,8.5,29.0,0.4
214,Westminster - Queen's Park,12563,83.3,76.8,83.8,21.7702777998886,9.5,52.6,43.3,15.2,00BKGN,98.3,4.4,55.4,13.7,22.6,0.4
215,Havering - Heaton,12570,61.6,76.7,81.0,21.925218774860802,16.8,16.3,13.0,2.5,00ARGL,72.6,45.3,37.1,8.8,35.8,1.0
216,Redbridge - Barkingside,12609,68.7,81.0,85.7,20.2791656753113,14.8,64.2,40.5,12.8,00BCFZ,64.3,1.3,4.7,4.2,17.2,1.2
217,Redbridge - Barkingside,12609,68.7,81.0,85.7,20.2791656753113,14.8,64.2,40.5,12.8,00BHGC,118.8,40.4,13.6,7.4,19.3,0.8
218,Waltham Forest - Forest,12609,99.6,77.9,80.7,19.3591878816718,9.3,58.7,45.7,18.4,00BCFZ,64.3,1.3,4.7,4.2,17.2,1.2
219,Waltham Forest - Forest,12609,99.6,77.9,80.7,19.3591878816718,9.3,58.7,45.7,18.4,00BHGC,118.8,40.4,13.6,7.4,19.3,0.8
220,Camden - Camden Town with Primrose Hill,12613,56.3,79.6,84.4,15.373027828431,11.3,26.4,38.8,12.1,00AGGF,411.2,15.2,30.5,5.4,11.7,0.5
221,Hillingdon - Charville,12622,83.5,81.6,86.0,22.8014577721439,12.5,43.9,30.1,9.7,00ASGL,69.4,44.9,9.7,4.2,21.6,1.3
222,Southwark - South Camberwell,12629,56.9,76.4,84.6,19.684852324016198,7.1,44.1,35.8,7.7,00BEGW,72.6,20.0,37.9,6.8,12.4,0.6
223,Redbridge - Fairlop,12630,89.8,80.2,81.1,20.8471892319873,13.1,34.9,25.1,8.2,00BCGG,91.7,48.2,9.7,5.2,21.2,1.2
224,Havering - Harold Wood,12650,60.4,79.8,82.6,17.4466403162055,17.4,10.1,9.4,2.5,00ARGJ,72.9,60.7,16.0,4.8,25.8,1.2
225,Hounslow - Hounslow West,12658,95.8,76.4,81.5,17.4435139832517,11.2,75.9,62.6,29.4,00ATGP,130.4,10.2,18.9,4.6,16.3,0.9
226,Haringey - Hornsey,12659,57.5,74.7,83.2,18.1293941069595,8.2,31.0,32.2,10.5,00APGH,66.1,14.5,29.5,8.6,13.8,0.6
227,Waltham Forest - Cathall,12700,79.3,74.9,81.6,21.3622047244094,6.8,61.0,50.1,20.0,00BHFY,84.2,22.6,38.5,13.2,19.3,0.5
228,Hounslow - Bedfont,12701,83.9,77.3,80.9,22.234469726793197,11.2,35.7,31.0,12.5,00ATFY,94.5,52.5,26.9,5.1,24.0,1.1
229,Camden - Belsize,12702,83.4,82.3,83.9,17.4460714848055,12.0,27.8,46.3,14.0,00AGGD,67.6,1.3,19.6,3.3,8.4,0.6
230,Enfield - Grange,12709,60.0,82.5,86.1,17.6095680226611,18.8,19.6,22.1,6.4,00AKGT,70.2,27.4,3.4,3.1,16.1,1.3
231,Westminster - Westbourne,12759,69.0,73.8,78.0,21.8198918410534,9.5,52.8,51.5,24.1,00BKGU,99.0,19.2,48.5,10.0,22.4,0.4
232,Croydon - Sanderstead,12777,55.7,82.5,84.2,19.558581826719898,18.5,19.5,13.7,1.7,00AHGU,39.8,48.6,6.7,2.9,15.1,1.5
233,Redbridge - Cranbrook,12780,83.3,77.5,83.0,20.524256651017197,12.9,75.4,44.5,15.1,00BCGF,81.7,33.4,5.3,5.1,17.6,1.2
234,Brent - Northwick Park,12811,39.4,80.7,81.6,16.6887830770432,13.2,68.8,53.3,19.8,00AEGW,68.6,32.0,16.2,3.1,13.4,1.3
235,Harrow - Roxbourne,12828,62.1,75.0,84.5,24.454318677892104,9.8,66.3,48.4,20.9,00AQGQ,53.5,15.4,25.4,5.7,19.2,1.0
236,Havering - Upminster,12833,38.6,80.1,81.6,16.7770591443934,22.5,4.8,6.1,0.9,00ARGW,49.5,82.0,1.9,31.6,19.0,1.4
237,Southwark - Faraday,12839,65.5,78.3,83.5,23.2416854895241,7.0,60.7,45.9,14.6,00BEGK,108.6,30.0,68.4,10.3,21.8,0.4
238,Lambeth - Clapham Common,12852,43.3,77.8,82.1,15.6084656084656,6.8,24.3,33.5,7.6,00AYGB,91.7,27.9,23.7,3.8,8.3,0.7
239,Greenwich - Blackheath Westcombe,12875,69.3,79.4,83.8,16.2796116504854,15.0,16.9,23.0,5.2,00ALGQ,76.4,15.5,22.4,3.4,12.1,0.8
240,Waltham Forest - Leytonstone,12879,60.0,76.8,84.0,16.422082459818302,7.5,47.6,42.6,15.4,00BHGN,109.2,5.8,15.4,7.5,15.1,0.7
241,Camden - Swiss Cottage,12900,68.6,81.6,85.0,16.4883720930233,11.6,32.4,51.2,17.8,00AGGW,87.0,14.5,16.5,2.9,9.0,0.6
242,Hillingdon - Hillingdon East,12906,83.7,77.6,83.5,23.113280644661398,11.9,34.4,23.3,6.4,00ASGQ,74.9,48.1,14.8,4.5,19.3,1.3
243,Redbridge - Fullwell,12910,75.1,78.8,83.2,21.5491866769946,15.6,48.5,29.6,8.0,00BCGH,76.8,24.9,14.9,6.1,23.4,1.2
244,Havering - Mawneys,12915,65.3,80.2,89.2,19.4192799070848,18.1,11.5,9.3,2.5,00ARGN,59.9,32.1,11.4,5.0,29.6,1.2
245,Islington - Mildmay,12917,48.5,76.9,81.0,18.255012773863896,7.8,34.5,33.8,10.6,00AUGJ,88.9,10.4,47.0,6.8,17.4,0.4
246,Hackney - Hackney Downs,12921,67.4,74.9,83.3,18.8839873074839,7.2,51.7,39.5,15.5,00AMGH,90.8,33.8,43.1,11.6,19.3,0.4
247,Tower Hamlets - Bow West,12939,60.3,74.0,80.9,19.2596027513718,7.8,40.7,32.0,11.3,00BGGA,145.3,43.0,39.0,8.8,20.3,0.5
248,Havering - Hylands,12952,43.1,77.8,84.5,17.634342186534898,16.2,9.7,7.9,1.7,00ARGM,61.9,26.0,7.2,3.2,23.7,1.4
249,Redbridge - Hainault,12953,80.4,78.1,83.8,23.0448544738671,14.1,29.8,22.2,7.4,00BCGK,91.1,59.8,27.3,8.4,28.9,1.0
250,Havering - Pettits,12955,59.6,81.0,83.9,17.020455422616802,20.8,8.7,7.4,1.7,00ARGP,55.9,32.4,5.4,3.2,25.7,1.4
251,Hillingdon - Yiewsley,12979,72.0,74.9,81.1,22.343786116033602,9.3,33.8,27.7,10.0,00ASHE,117.7,41.3,27.3,5.5,23.7,1.0
252,Havering - Havering Park,13000,58.0,75.3,79.0,21.2692307692308,15.9,12.0,9.1,1.5,00ARGK,51.8,75.3,20.6,6.4,30.4,1.3
253,Enfield - Highlands,13006,50.7,81.5,90.5,16.9075811164078,18.5,20.8,20.9,5.4,00AKGW,40.6,56.5,7.4,3.3,18.7,1.2
254,Brent - Brondesbury Park,13023,67.2,80.3,84.7,16.7933655839668,12.1,43.8,47.2,16.2,00AGGP,480.3,7.5,42.5,6.0,12.9,0.3
255,Brent - Brondesbury Park,13023,67.2,80.3,84.7,16.7933655839668,12.1,43.8,47.2,16.2,00AEGL,91.6,9.6,21.5,5.3,15.9,0.7
256,Redbridge - Goodmayes,13069,103.0,79.9,83.2,24.087535389088696,8.0,75.2,46.3,18.5,00BCGJ,93.8,30.6,8.5,8.4,18.1,1.0
257,Southwark - Brunswick Park,13174,73.3,78.8,90.7,19.6599362380446,7.1,53.3,40.6,10.7,00BEGC,100.1,7.0,46.6,10.1,15.2,0.5
258,Waltham Forest - Higham Hill,13194,107.4,75.8,88.0,24.4808246172503,7.6,51.9,40.3,15.7,00ARGU,52.7,16.7,8.8,3.9,20.0,1.3
259,Waltham Forest - Higham Hill,13194,107.4,75.8,88.0,24.4808246172503,7.6,51.9,40.3,15.7,00BHGH,79.5,56.7,33.6,11.5,23.7,0.7
260,Havering - Squirrel's Heath,13194,63.0,81.6,89.5,17.7656510535092,16.3,11.5,9.4,1.3,00ARGU,52.7,16.7,8.8,3.9,20.0,1.3
261,Havering - Squirrel's Heath,13194,63.0,81.6,89.5,17.7656510535092,16.3,11.5,9.4,1.3,00BHGH,79.5,56.7,33.6,11.5,23.7,0.7
262,Westminster - Lancaster Gate,13195,46.5,93.7,88.1,11.5953012504737,8.4,33.7,64.6,32.2,00BKGJ,172.3,8.6,10.5,3.4,7.1,0.4
263,Tower Hamlets - Weavers,13206,55.1,78.9,82.2,17.3406027563229,7.0,47.9,41.2,16.7,00BGGM,195.8,15.0,43.4,11.7,20.6,0.3
264,Croydon - Heathfield,13213,56.9,84.1,83.7,19.049421024748398,15.9,24.6,16.9,2.8,00AHGP,82.2,61.3,9.3,4.2,17.2,1.3
265,Hackney - Victoria,13231,62.9,79.4,86.8,20.6409190537374,7.4,44.2,34.0,10.4,00AMGT,109.7,20.9,52.3,12.5,19.5,0.4
266,Hackney - Chatham,13232,63.2,72.5,81.4,21.9543530834341,6.9,54.4,41.3,14.4,00AMGC,134.3,20.5,51.0,14.1,21.1,0.4
267,Redbridge - Clayhall,13241,63.8,84.0,85.4,21.901669058228197,14.3,71.0,38.8,10.9,00BCGD,66.7,19.9,4.9,3.6,17.0,1.4
268,Waltham Forest - William Morris,13269,102.7,77.5,80.7,22.413143416987,8.0,51.8,43.6,16.9,00BHGR,81.0,5.3,21.4,9.0,20.4,0.6
269,Haringey - Harringay,13272,64.0,78.4,81.8,14.7679324894515,7.5,34.5,49.2,24.3,00APGF,108.9,45.4,13.9,9.3,14.0,0.5
270,Islington - Tollington,13311,46.2,72.4,80.8,17.7221846593043,8.0,35.8,34.5,12.6,00AUGN,87.4,13.3,41.9,7.8,17.3,0.4
271,Ealing - Walpole,13330,66.8,79.0,85.5,17.9594898724681,10.5,27.1,38.0,14.1,00AJHB,100.1,20.1,12.0,3.6,10.2,0.8
272,Tower Hamlets - Mile End East,13354,74.3,73.4,78.7,23.895462033847497,5.7,66.0,43.5,20.0,00BGGF,113.9,33.4,52.9,14.8,23.3,0.4
273,Waltham Forest - Wood Street,13368,102.1,75.3,83.2,23.3019150209455,9.2,50.4,38.7,14.4,00BHGS,89.4,34.4,30.9,9.8,20.8,0.7
274,Haringey - West Green,13372,65.0,75.6,86.2,19.7427460364942,9.5,47.8,54.6,25.9,00APGS,94.7,38.2,36.0,12.0,23.9,0.5
275,Hackney - Cazenove,13392,116.6,74.4,86.7,28.3751493428913,5.4,43.3,36.4,16.4,00AMGB,63.2,12.8,33.8,9.9,23.5,0.4
